Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
300: March to Glory,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41,55.0,31.0,7.1,14.0,Collision Studios,M
3D Dot Game Heroes,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8.0,96.0,Silicon Studio,E10+
4x4 EVO 2,2001,Racing,Gathering of Developers,0.18,0.05,0.0,0.01,0.24,59.0,15.0,6.2,5.0,Terminal Reality,E
New Game,1995,Random Genre,Random Publisher,,,,,,,,0.7898525920623574,376.0,Random Developer,Random Rating
50 Cent: Blood on the Sand,2009,Shooter,THQ,0.12,0.07,0.0,0.02,0.21,71.0,54.0,6.4,64.0,Swordfish Studios,M
50 Cent: Blood on the Sand,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72.0,37.0,7.2,57.0,Swordfish Studios,M
50 Cent: Bulletproof,2005,Action,Vivendi Games,0.85,0.76,0.0,0.16,1.77,47.0,21.0,6.6,129.0,Genuine Games,M
50 Cent: Bulletproof,2005,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,50.0,14.0,5.9,21.0,Genuine Games,M
7 Days to Die,2016,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14,45.0,16.0,5.9,140.0,The Fun Pimps Entertainment LLC,M
7 Days to Die,2016,Action,Telltale Games,0.03,0.02,0.0,0.0,0.05,35.0,17.0,5.2,74.0,The Fun Pimps Entertainment LLC,M
New Game,2018,Random Genre,Random Publisher,,,0.9605269036521042,1.122944613605699,1.5033914758836862,41.0,,1.293749194825044,,Random Developer,Random Rating
7th Dragon III Code: VFD,2015,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77.0,26.0,8.2,38.0,Sega,T
7 Wonders of the Ancient World,2007,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,60.0,7.0,8.3,48.0,Hot Lava Games,E
A Boy and His Blob,2009,Platform,Majesco Entertainment,0.18,0.01,0.0,0.01,0.21,80.0,43.0,8.7,35.0,WayForward,E
AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,0.21,0.01,0.0,0.02,0.24,60.0,12.0,5.3,14.0,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,0.21,0.0,0.0,0.02,0.23,63.0,16.0,4.9,10.0,Harmonix Music Systems,T
New Game,1993,Random Genre,Random Publisher,0.3972327954281007,1.4354401417700362,,,,32.0,,,,Random Developer,Random Rating
New Game,1999,Random Genre,Random Publisher,1.7748236120820555,,1.0085051395158278,,0.5021933022713383,,85.0,,98.0,Random Developer,Random Rating
Academy of Champions: Soccer,2009,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,64.0,20.0,6.8,14.0,Ubisoft Vancouver,E
Ace Attorney Investigations: Miles Edgeworth,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,78.0,51.0,8.4,79.0,Capcom,T
New Game,2018,Random Genre,Random Publisher,,0.1689458154822385,1.2087083661515343,,0.3895414186659509,,61.0,,910.0,Random Developer,Random Rating
Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77.0,28.0,6.7,82.0,Project Aces,T
Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,78.0,71.0,6.2,82.0,Project Aces,T
New Game,2016,Random Genre,Random Publisher,,1.6481782205517583,0.6718135099839453,0.5973184849397841,1.8689859088308929,62.0,21.0,0.5913120133883187,,Random Developer,Random Rating
Ace Combat: Assault Horizon Legacy,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,71.0,37.0,7.8,26.0,Project Aces,T
New Game,2007,Random Genre,Random Publisher,,0.005805477706686,,0.1371305150635051,1.7412357362558393,,91.0,,,Random Developer,Random Rating
Ace Combat: Joint Assault,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71.0,30.0,7.2,12.0,Project Aces,T
Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,89.0,22.0,9.1,95.0,Namco,E
New Game,1993,Random Genre,Random Publisher,,1.2211174601146575,,,,,35.0,0.8239914267282824,520.0,Random Developer,Random Rating
Ace Combat 2,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,10.0,8.2,22.0,Namco,T
Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84.0,57.0,9.1,81.0,Namco,T
Ace Combat 6: Fires of Liberation,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80.0,54.0,7.9,101.0,Project Aces,T
New Game,2012,Random Genre,Random Publisher,,0.704132737138706,0.0215960403931525,,,,,,,Random Developer,Random Rating
Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75.0,26.0,8.3,30.0,Project Aces,T
Ace Combat Zero: The Belkan War,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75.0,45.0,8.4,55.0,Namco,T
New Game,2004,Random Genre,Random Publisher,,,0.4755716213545116,,0.4017016218470328,80.0,49.0,,167.0,Random Developer,Random Rating
New Game,2000,Random Genre,Random Publisher,,0.47153433157856,,,,56.0,,,123.0,Random Developer,Random Rating
Achtung Panzer: Kharkov 1943,2010,Strategy,Mamba Games,0.0,0.01,0.0,0.0,0.02,70.0,6.0,8.3,20.0,Paradox Interactive,
New Game,2014,Random Genre,Random Publisher,,1.2537065277293031,0.9036253386991316,,,,,1.955242216705527,244.0,Random Developer,Random Rating
New Game,2008,Random Genre,Random Publisher,,,,0.1304550997588678,1.7333170696034148,,,,335.0,Random Developer,Random Rating
Active Life: Outdoor Challenge,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69.0,6.0,8.1,14.0,h.a.n.d. Inc.,E
Activision Anthology,2002,Misc,Activision,0.25,0.19,0.0,0.06,0.5,75.0,13.0,7.7,6.0,Contraband Entertainment,E
Act of Aggression,2015,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,71.0,37.0,7.1,93.0,Eugen Systems,
Advance Wars,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92.0,28.0,9.0,95.0,Intelligent Systems,E
Advance Wars: Dual Strike,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,90.0,49.0,9.0,163.0,Intelligent Systems,E
Advance Wars 2: Black Hole Rising,2003,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89.0,34.0,9.4,97.0,Intelligent Systems,E
Advent Rising,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13,68.0,50.0,7.5,68.0,GlyphX Games,T
Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,0.0,0.07,0.0,0.0,0.08,65.0,5.0,5.6,8.0,WayForward,E10+
Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,0.0,0.05,0.0,0.0,0.06,58.0,5.0,7.5,4.0,WayForward,E10+
Aedis Eclipse: Generation of Chaos,2006,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0,0.02,62.0,20.0,6.5,11.0,"Neverland, Idea Factory",E10+
Aegis of Earth: Protonovus Assault,2016,Action,PQube,0.02,0.0,0.0,0.0,0.03,57.0,11.0,7.8,9.0,Acquire,T
New Game,2011,Random Genre,Random Publisher,,,,1.191441963867717,,91.0,26.0,1.723362150784166,651.0,Random Developer,Random Rating
Aeon Flux,2005,Action,THQ,0.02,0.02,0.0,0.01,0.04,66.0,19.0,5.8,9.0,Terminal Reality,T
Aeon Flux,2005,Action,THQ,0.01,0.0,0.0,0.0,0.01,69.0,27.0,3.0,4.0,Terminal Reality,T
New Game,2016,Random Genre,Random Publisher,1.6968818274831492,0.2058312203802628,0.8487962635165285,,,,91.0,,393.0,Random Developer,Random Rating
Aero Elite: Combat Academy,2002,Simulation,Sega,0.04,0.03,0.0,0.01,0.07,64.0,18.0,7.0,8.0,Sega AM2,E
New Game,2008,Random Genre,Random Publisher,,0.9739830923897848,1.9938017807545905,,1.494851861969291,52.0,,0.7605390397080432,,Random Developer,Random Rating
Afrika,2008,Adventure,Unknown,0.12,0.0,0.08,0.01,0.22,63.0,12.0,6.2,34.0,Rhino Studios,E10+
Afro Samurai,2009,Action,Atari,0.16,0.05,0.0,0.02,0.24,65.0,70.0,6.2,57.0,"Namco Bandai Games America, Namco Bandai Games",M
Afro Samurai,2009,Action,Atari,0.12,0.05,0.0,0.03,0.2,65.0,52.0,6.1,27.0,"Namco Bandai Games America, Namco Bandai Games",M
A Game of Thrones: Genesis,2011,Strategy,Focus Home Interactive,0.0,0.03,0.0,0.01,0.03,53.0,40.0,4.0,110.0,Cyanide,
New Game,2016,Random Genre,Random Publisher,,,,0.7788858700983388,1.2117586266741642,,,,,Random Developer,Random Rating
New Game,2011,Random Genre,Random Publisher,1.8732229513997385,1.850681362360951,1.0858633486985578,,,74.0,16.0,1.1629782944276206,867.0,Random Developer,Random Rating
Agatha Christie: And Then There Were None,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.07,50.0,23.0,6.2,12.0,AWE Games,T
New Game,2019,Random Genre,Random Publisher,1.903172496373283,1.362157360763539,0.599820466242462,0.9535428299067196,0.742045822583175,,62.0,0.9937284033247764,18.0,Random Developer,Random Rating
Agatha Christie: Evil Under the Sun,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.08,46.0,6.0,7.3,6.0,AWE Games,T
Agatha Christie: The ABC Murders,2009,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,53.0,11.0,6.5,4.0,Dreamcatcher,T
New Game,2017,Random Genre,Random Publisher,0.4440993978413965,0.376795985727544,0.3493218862146448,1.4353510211250056,0.2009616664331417,61.0,,1.9033592372861232,,Random Developer,Random Rating
Agatha Christie: The ABC Murders,2016,Adventure,Microids,0.0,0.02,0.0,0.0,0.02,66.0,15.0,8.5,144.0,Artefacts Studio,
New Game,2021,Random Genre,Random Publisher,1.528140295504972,0.159803719902954,,1.6359263804272464,0.9684786553579958,95.0,16.0,,,Random Developer,Random Rating
Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.01,0.01,0.0,0.0,0.03,67.0,17.0,6.2,12.0,Microids,T
Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.01,0.0,0.0,0.0,0.01,66.0,7.0,7.5,8.0,Microids,
Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03,83.0,14.0,8.4,52.0,Funcom,M
Age of Empires: Mythologies,2008,Strategy,THQ,0.16,0.03,0.0,0.02,0.21,78.0,28.0,6.9,20.0,Griptonite Games,E10+
Age of Empires: The Age of Kings,2006,Strategy,THQ,0.18,0.02,0.0,0.02,0.22,80.0,38.0,7.9,59.0,Backbone Entertainment,E10+
New Game,1992,Random Genre,Random Publisher,,,,1.398296744147976,0.8534569541575823,24.0,3.0,,,Random Developer,Random Rating
Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09,92.0,21.0,9.0,801.0,Ensemble Studios,T
Age of Empires III,2005,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38,81.0,52.0,7.7,519.0,Ensemble Studios,T
Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,81.0,19.0,8.5,71.0,Big Huge Games,T
Age of Empires Online,2011,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,70.0,44.0,5.6,186.0,Gas Powered Games,E10+
Age of Mythology,2002,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,89.0,31.0,8.9,484.0,Ensemble Studios,T
New Game,2013,Random Genre,Random Publisher,,,1.844580697546757,,,,100.0,,245.0,Random Developer,Random Rating
New Game,1990,Random Genre,Random Publisher,,,1.0967686820646878,,,,98.0,,189.0,Random Developer,Random Rating
Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,0.02,0.02,0.0,0.0,0.04,84.0,25.0,8.7,119.0,Ensemble Studios,T
New Game,1998,Random Genre,Random Publisher,1.0973120729712251,,,,,27.0,,,,Random Developer,Random Rating
New Game,1998,Random Genre,Random Publisher,0.7124826483290441,0.9376404466256124,,,,3.0,58.0,,,Random Developer,Random Rating
Aggressive Inline,2002,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.35,85.0,31.0,8.7,14.0,"Z-Axis, Ltd.",T
New Game,1992,Random Genre,Random Publisher,,,,1.6925975516178713,,,,1.2455738950620827,,Random Developer,Random Rating
Aggressive Inline,2002,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,85.0,20.0,7.7,7.0,"Z-Axis, Ltd.",T
Aggressive Inline,2002,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06,88.0,16.0,7.8,5.0,"Z-Axis, Ltd.",T
Airblade,2001,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,70.0,18.0,5.8,12.0,Criterion Games,T
Airborne Troops: Countdown to D-Day,2005,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,39.0,4.0,8.1,9.0,WideScreen Games,T
Air Conflicts: Secret Wars,2011,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03,65.0,5.0,6.4,24.0,Games Farm,T
AirForce Delta Storm,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,61.0,21.0,7.1,7.0,KCE Studios,E
AirForce Delta Strike,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11,66.0,22.0,7.0,6.0,KCE Studios,T
Airline Tycoon 2,2011,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05,57.0,4.0,5.5,30.0,Kalypso,E
New Game,1992,Random Genre,Random Publisher,1.225803936485334,,,1.5862489467346754,1.5774443806142306,0.0,54.0,,782.0,Random Developer,Random Rating
Alan Wake,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83.0,100.0,8.1,1156.0,Remedy Entertainment,T
New Game,1993,Random Genre,Random Publisher,1.0321999447072,0.7944429480245399,,,,,5.0,,,Random Developer,Random Rating
New Game,2011,Random Genre,Random Publisher,,,,0.3535787928773028,,,,1.244296008903779,,Random Developer,Random Rating
Alan Wake,d,Action,Nordic Games,0.0,0.06,0.0,0.01,0.06,83.0,30.0,8.0,1473.0,Remedy Entertainment,T
New Game,1990,Random Genre,Random Publisher,,1.2281230955988427,0.6563605222712701,,,74.0,,1.680735742431877,395.0,Random Developer,Random Rating
Alias,2004,Action,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.11,64.0,31.0,8.0,10.0,Acclaim Studios Cheltenham,T
Alias,2004,Action,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.05,64.0,37.0,6.0,4.0,Acclaim Studios Cheltenham,T
Alice: Madness Returns,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70.0,51.0,7.9,181.0,Spicy Horse,M
Alice: Madness Returns,2011,Adventure,Electronic Arts,0.27,0.14,0.04,0.04,0.5,70.0,67.0,8.1,157.0,Spicy Horse,M
New Game,2007,Random Genre,Random Publisher,0.8532647408971368,1.5125122605168244,1.9616767220405649,,1.9932336982102217,,,,885.0,Random Developer,Random Rating
Alice: Madness Returns,2011,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,75.0,29.0,8.4,559.0,Spicy Horse,M
Alice in Wonderland,2010,Adventure,Disney Interactive Studios,0.25,0.21,0.0,0.05,0.51,69.0,18.0,7.4,13.0,Etranges Libellules,E10+
New Game,2006,Random Genre,Random Publisher,0.1200983413311294,,0.8157943481414314,,,25.0,18.0,0.6084452284251556,,Random Developer,Random Rating
Alien: Isolation,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.0,50.0,8.1,795.0,Creative Assembly,M
Alien: Isolation,2014,Shooter,Sega,0.22,0.24,0.0,0.04,0.51,78.0,24.0,7.8,314.0,Creative Assembly,M
New Game,2010,Random Genre,Random Publisher,,,0.8769581944691691,,,,,1.4270998774477963,,Random Developer,Random Rating
New Game,2015,Random Genre,Random Publisher,0.8621577562680969,0.0391813077170293,0.6667056103634621,1.727247676739466,,71.0,,,,Random Developer,Random Rating
New Game,1993,Random Genre,Random Publisher,,1.2336477769103815,1.6371951022706184,0.004664316263174,0.5918418144628643,37.0,,0.89445091146656,748.0,Random Developer,Random Rating
New Game,2018,Random Genre,Random Publisher,,,,,1.4100039502062989,77.0,52.0,0.6064343117634339,,Random Developer,Random Rating
New Game,2005,Random Genre,Random Publisher,,,,,,,11.0,,,Random Developer,Random Rating
New Game,2002,Random Genre,Random Publisher,1.0975056265614025,0.4198854716680229,,1.1100823929351693,0.5943542408139479,38.0,,1.952700865435615,,Random Developer,Random Rating
Alien: Isolation,2014,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,41.0,8.4,1588.0,Creative Assembly,M
New Game,2017,Random Genre,Random Publisher,1.077343627326117,,,0.1750825324234286,1.3927199158114976,,40.0,1.2753709030137492,,Random Developer,Random Rating
New Game,1990,Random Genre,Random Publisher,1.9799705637479244,,,,1.973812871274331,,,,580.0,Random Developer,Random Rating
Alien Hominid,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0.0,0.01,0.1,78.0,47.0,8.3,13.0,The Behemoth,T
Alien Hominid,2004,Shooter,O3 Entertainment,0.07,0.02,0.0,0.0,0.09,78.0,28.0,8.5,15.0,The Behemoth,T
Alien Resurrection,2000,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16,61.0,12.0,7.5,15.0,Argonaut Games,M
Aliens: Colonial Marines,2013,Shooter,Sega,0.36,0.34,0.0,0.07,0.77,48.0,47.0,3.8,449.0,Gearbox Software,M
New Game,2018,Random Genre,Random Publisher,0.5059008457619829,1.9742240945780056,,,1.0241033377837558,14.0,78.0,,,Random Developer,Random Rating
New Game,1991,Random Genre,Random Publisher,,,0.0206783741265728,,1.3602183857095491,,,,568.0,Random Developer,Random Rating
Aliens: Colonial Marines,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,25.0,3.6,295.0,Gearbox Software,M
Aliens: Colonial Marines,2013,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45.0,40.0,3.5,1156.0,Gearbox Software,M
Aliens: Infestation,2011,Action,Sega,0.09,0.05,0.0,0.02,0.16,76.0,43.0,8.2,29.0,"Gearbox Software, WayForward",T
Aliens in the Attic,2009,Action,Playlogic Game Factory,0.05,0.0,0.0,0.0,0.05,58.0,7.0,6.0,5.0,Engine Software,E10+
Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,0.09,0.07,0.0,0.02,0.19,66.0,17.0,8.4,30.0,Zono Inc.,T
Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,0.06,0.02,0.0,0.0,0.08,64.0,19.0,7.7,21.0,Zono Inc.,T
Aliens vs Predator,2010,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,64.0,64.0,7.3,247.0,Rebellion,M
Aliens vs Predator,2010,Shooter,Sega,0.41,0.46,0.0,0.18,1.04,65.0,57.0,7.3,168.0,Rebellion,M
New Game,2007,Random Genre,Random Publisher,0.080884814622256,0.5666337738948577,0.8378268849454396,0.8582242276358667,,43.0,,1.9229947341686184,779.0,Random Developer,Random Rating
Aliens vs Predator,2010,Shooter,Sega,0.0,0.17,0.0,0.02,0.19,68.0,35.0,7.4,985.0,Rebellion,M
